Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0603_1608Metric,26.825,-29.6,180,top
C2,3.3uF,C_0603_1608Metric,36.3,-54.5,-90,top
C3,22uF,CP_EIA-3216-18_Kemet-A,23,-40.6,180,top
C4,100nF,C_0402_1005Metric,32.3,-43.62,90,top
C5,100nF,C_0402_1005Metric,29.45,-42.85,180,top
C6,15pF,C_0402_1005Metric,39,-40.8,90,top
C7,15pF,C_0402_1005Metric,36.6,-38,0,top
C8,100nF,C_0402_1005Metric,27.8,-43.6,90,top
C9,100nF,C_0402_1005Metric,27.72,-55.6,180,top
C10,100nF,C_0402_1005Metric,36,-45.4,90,top
C11,100nF,C_0402_1005Metric,24.4,-48.2,-90,top
C12,100nF,C_0402_1005Metric,24.4,-52.4,90,top
C13,100nF,C_0402_1005Metric,31.6,-55.6,0,top
C14,100nF,C_0402_1005Metric,36,-49.4,90,top
C15,4.7uF,C_0603_1608Metric,22.6,-44.4,180,top
C16,4.7uF,C_0603_1608Metric,22.6,-42.6,180,top
J1,Conn_02x05_Odd_Even,PinHeader_2x05_P2.54mm_Horizontal,35.08,-63.26,-90,top
R1,5.1k,R_0402_1005Metric,35.9,-23.5,90,top
R2,5.1k,R_0402_1005Metric,24.15,-23.5,90,top
R15,20,R_0603_1608Metric,29.2,-29.225,90,top
R16,20,R_0603_1608Metric,30.8,-29.225,90,top
R17,1k,R_0402_1005Metric,26.6,-43.6,-90,top
R18,12k,R_0402_1005Metric,32,-41.6,0,top
R19,1M,R_0402_1005Metric,33.8,-42.5,90,top
U1,FT4232H,FT4242HQ-QFN-64_L9.0-W9.0-P0.50-BL-EP4.8,30.2,-49.8,180,top
U2,~,AMS1117,24.2,-35,-90,top
USB1,~,USB-C-SMD_TYPE-C16PIN,30,-23.89475,180,top
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,36.6,-40.8,90,top
